[猎户] --> [Thợ săn] <<>> [猎户] --> [Liệp Hộ] | **3. 猎户 (Liệp Hộ)** (nam, tuổi trung niên, là những người săn bắn, có thể là người dân thường)

[八转信道蛊仙] --> [Cổ tiên Tín đạo bát chuyển] <<>> [八转信道蛊仙] --> [Bát Chuyển Tín Đạo Cổ Tiên] | * **八转信道蛊仙 (Bát Chuyển Tín Đạo Cổ Tiên)** là một vị Cổ Tiên có cấp bậc cao, có tài năng tín đạo, là người bảo vệ Hoa Văn Động Thiên.

[战兽公会] --> [Công hội Chiến Thú] <<>> [战兽公会] --> [Chiến Thú Công Hội] | * **战兽公会 (Chiến Thú Công Hội)** là một tổ chức lớn trong Thú Tai Động Thiên, là nơi mà Chiến Bộ Độ muốn gia nhập.

[战兽使] --> [Chiến Thú Sứ] <<>> [战兽使] --> [Chiến Thú Sử] | * **战兽使 (Chiến Thú Sử)** là một loại nghề nghiệp trong Thú Tai Động Thiên, là người có khả năng hợp thể với Hoang Thú.

[战兽使者] --> [Sứ giả Chiến Thú] <<>> [战兽使者] --> [Chiến Thú Sử Giả] | * **战兽使者 (Chiến Thú Sử Giả)** là một loại nghề nghiệp trong Thú Tai Động Thiên, là cấp bậc cao hơn Chiến Thú Sử.

[小箭尾雕] --> [Tiểu Tiễn Vĩ Điêu] <<>> [小箭尾雕] --> [Tiểu Tiến Vĩ Điêu] | * **小箭尾雕 (Tiểu Tiễn Vĩ Điêu)** là một loại Hoang Thú, là con của một vị Cổ Tiên, có thể là một loại Hoang Thú hiếm có, là thú cưỡi của Chiến Bộ Độ.

[姜先生] --> [Khương tiên sinh] <<>> [姜先生] --> [Khương Tiên Sanh] | * **姜先生 (Giang Tiên Sinh)** là nam, là một vị Cổ Tiên, là thầy giáo của Lý Tiểu Bạch, có tài năng văn chương.

[吴帅] --> [Ngô Soái] <<>> [吴帅] --> [Ngô Suất] | **10.  吴帅 (Ngô Tuấn)**

[书道阁主] --> [Các chủ Thư Đạo Các] <<>> [书道阁主] --> [Thư Đạo Các Chủ] | **15.  书道阁主 (Thư Đạo Các Chủ)**

[松涛子] --> [Tùng Đào Tử] <<>> [松涛子] --> [Tông Đào Tử] | **17.  松涛子 (Tùng Tao Tử)**

[三尊] --> [Ba vị] <<>> [三尊] --> [Tam Tôn] | **32.  三尊 (Tam Tôn)**

[古族族长] --> [Tộc trưởng Cổ Tộc] <<>> [古族族长] --> [Cổ Tộc Tộc Trường] | **34.  古族族长 (Cổ Tộc Tộc Trưởng)**

[房功] --> [Phòng Công] <<>> [房功] --> [Phòng Công] | - Có mối quan hệ đồng minh với **房功 (Phòng Công)** và **房化生 (Phòng Hoá Sinh)**.

[房睇长] --> [Phòng Thê Trường] <<>> [房睇长] --> [Phòng Thê Trường] | - Có mối quan hệ đồng minh với **房睇长 (Phòng Thị Trường)** và **房化生 (Phòng Hoá Sinh)**.

[鲛人蛊仙] --> [Cổ tiên Giao nhân] <<>> [鲛人蛊仙] --> [Giao Nhân Cổ Tiên] | **11. 鲛人蛊仙 (Giảo Nhân Cổ Tiên)**

[人形云雾] --> [Vân vụ hình người] <<>> [人形云雾] --> [Nhân Hình Vân Vụ] | **30.  人形云雾 (Nhân Hình Vân Vụ)**

[沈潭] --> [Thẩm Đàm] <<>> [沈潭] --> [Trầm Đàm] | **2. 沈潭 (Thẩm Đàm)** là nam, tuổi trung niên, là một vị Cổ Tiên (Cổ Tiên), thuộc dòng họ Thẩm, có khả năng điều khiển thủy đạo.

[沈家] --> [Thẩm gia] <<>> [沈家] --> [Trầm Gia], [沈从声] --> [Thẩm Tòng Thanh] <<>>  [沈从声] --> [Trầm Tòng Thanh] | * Thông tin bổ sung: Có mối quan hệ với沈家 (Thẩm Gia), có thể là đồng minh hoặc thuộc hạ của沈从声 (Thẩm Tòng Thanh).

[沈泣] --> [Thẩm Khấp] <<>> [沈泣] --> [Trầm Khấp] | **6. 沈泣 (Thẩm Khấp)** là nam, tuổi trung niên, là một vị Cổ Tiên (Cổ Tiên), thuộc dòng họ Thẩm.

 [万年斗飞车] --> [Vạn Niên Đấu Phi Xa] <<>>  [万年斗飞车] --> [Vạn Niên Đẩu Phi Xa] | * Thông tin bổ sung: Có khả năng tu luyện đa đạo, sở hữu nhiều loại仙蛊 (仙蛊), sở hữu仙蛊屋 万年斗飞车 (Vạn Niên Đấu Phi Xa), có thể là người tái sinh.

[沈笑] --> [Thẩm Tiếu] <<>> [沈笑] --> [Trầm Tiếu] | **3. 沈笑 (Thẩm Tiếu)** là nam, tuổi không được đề cập, là nhân vật phụ, thuộc gia tộc Thẩm gia, có vai trò tìm kiếm bí mật của "người tốt" trên bia công đức.

[沈伤] --> [Thẩm Thương] <<>> [沈伤] --> [Trầm Thương] | **13. 沈伤 (Thẩm Thương)** là nam, là nhân vật phụ, là một vị Cổ Tiên 8 chuyển, là tổ tiên của Thẩm gia, có khả năng trong lĩnh vực âm đạo và chữa trị, tính cách hung ác, tàn bạo, bị lạc vào con đường ma đạo.

[董家蛊仙] --> [Cổ tiên Đổng gia] <<>> [董家蛊仙] --> [Đổng Gia Cổ Tiên] | * Mối quan hệ: Là lãnh đạo của một nhóm các Cổ Tiên Tây Mạc, có quan hệ với các nhân vật như:董家蛊仙 (Đổng Gia Cổ Tiên),  沈伤 (Thẩm Thương).

 [翼浩方] --> [Dực Hạo Phương] <<>>  [翼浩方] --> [Dực Hạo Phương], [巴德] --> [Ba Đức] <<>>  [巴德] --> [Ba Đức] | * Mối quan hệ: Là đồng minh của các nhân vật như:武庸 (Vũ Dung),  池曲由 (Trì Quất Do),  翼浩方 (Dực Hạo Phương),  巴德 (Ba Đức),  方源 (Phương Nguyên),  吴帅 (Ngô Tuấn).

[七次郎] --> [Bảy lần] <<>> [七次郎] --> [Thất Thứ Lang] | **24. 七次郎 (Thất Tứ Lang)** là nam, có thể là tuổi trẻ, là một trong những nhân vật phụ của câu chuyện, là một vị trí cao cấp trong phe Trường Sinh Thiên, có khả năng sử dụng võ công, có tài năng võ công, bị thương nặng trong trận chiến.

[星宿尊者] --> [Tinh Tú tôn giả] <<>> [星宿尊者] --> [Tinh Túc Tôn Giả] | **37. 星宿尊者 (Tinh Tú Tôn Giả)** là nữ, có thể là tuổi già, là một trong những nhân vật chính của câu chuyện, là một trong những vị trí cao cấp trong phe Thiên Đình, có khả năng sử dụng trí đạo, có tài năng võ công, tính cách bí ẩn, khó nắm bắt.

 [青岳安] --> [Thanh Nhạc An] <<>>  [青岳安] --> [Thanh Nhạc An], [华彩云] --> [Hoa Thải Vân] <<>>  [华彩云] --> [Hoa Thải Vân], [宋启元] --> [Tống Khải Nguyên] <<>>  [宋启元] --> [Tống Khải Nguyên] | * Mối quan hệ: Là đồng minh của 方源 (Phương Nguyên),  沈从声 (Thẩm Tòng Thanh),  青岳安 (Thanh Nhạc An),  华彩云 (Hoa Thái Vân),  宋启元 (Tống Khởi Nguyên),  容婆 (Dung Bà).

[肉鞭仙] --> [Nhục Tiên] <<>> [肉鞭仙] --> [Nhục Tiên Tiên] | **2. 肉鞭仙 (Nhục Biên Tiên)** là nữ, có thể là tuổi trung niên, là một trong những đại năng của Thiên Đình, có khả năng biến hóa thành cây gỗ cổ đại, đã hy sinh để ngăn cản Đế Tàng Sinh.

[狂蛮意志] --> [Ý chí Cuồng Man] <<>> [狂蛮意志] --> [Cuồng Man Ý Chí] | **11. 狂蛮意志 (Cuồng Hoang Ý Chí)**

[华松] --> [Hoa Tùng] <<>> [华松] --> [Hoa Tông] | **26. 华松 (Hoa Tùng)** là nam, là Gu Tiên của Hoa Văn Động Thiên.

[骷髅姥姥] --> [Khô Lâu bà bà] <<>> [骷髅姥姥] --> [Khô Lâu Mỗ Mỗ] | **28. 骷髅姥姥 (Cốt Lầu Lão Lão)** là nữ, 8 chuyển, là người đứng đầu của Tán Cốt Động Thiên.

[肥娘子] --> [Mập nương tử] <<>> [肥娘子] --> [Phì Nương Tử] | **34. 肥娘子 (Phì Nương Tử)** là nữ, là Gu Tiên của Mạc gia, có năng lực mạnh mẽ.

[夏正清] --> [Hạ Chính Thanh] <<>> [夏正清] --> [Hạ Chánh Thanh] | **19. 夏正清 (Hạ Chính Thanh)** là nam, tuổi chưa rõ (có thể là tuổi trung niên), là Cổ Tiên cấp 7, thuộc tộc Hạ, có vai trò quan trọng trong tộc.

[冰晶仙王] --> [Băng Tinh Tiên Vương] <<>> [冰晶仙王] --> [Băng Tinh Tiên Vương], [副盟主] --> [Phó minh chủ] <<>>  [副盟主] --> [Phó Minh Chủ], [两天联盟] --> [Hai ngày liên minh] <<>>  [两天联盟] --> [Lưỡng Thiên Liên Minh] | **14. 冰晶仙王 (Băng Tinh Tiên Vương)** là nam, là Cổ Tiên 8 chuyển, là Phó Minh Chủ (副盟主) của Liên Minh Nhị Thiên (两天联盟), có kỹ năng chiến đấu mạnh mẽ.

[大智仙母] --> [Đại Trí tiên mẫu] <<>> [大智仙母] --> [Đại Trí Tiên Mẫu] | **16. 大智仙母 (Đại Trí Tiên Mẫu)** là nữ, là Cổ Tiên 8 chuyển, là thành viên của Liên Minh Nhị Thiên (两天联盟).

[萧荷尖] --> [Tiêu Hà] <<>> [萧荷尖] --> [Tiêu Hà Tiêm] | **26. 萧荷尖 (Tiêu Hà Tiêm)** là nam, là Cổ Tiên 8 chuyển, có tính cách xảo quyệt, tham vọng lớn, muốn gia nhập Liên Minh Nhị Thiên (两天联盟).

[造诣] --> [Tạo nghệ] <<>> [造诣] --> [Tạo Nghệ], [忧外患] --> [Ưu ngoại hoạn] <<>>  [忧外患] --> [Ưu Ngoại Hoạn], [痕] --> ["Ngân] <<>>  [痕] --> [Ngân] | Là nam, tuổi chưa rõ (có thể là tuổi trung niên), là nhân vật chính trong câu chuyện, có thân phận bí mật là khí hải lão tổ, sở hữu trí đạo造诣 cao, đang đối mặt với nội忧外患, đang cố gắng luyện hóa thiên đạo đạo痕 và đối phó với khí tuyệt ma tiên.

[莫家蛊仙] --> [Cổ tiên Mạc gia] <<>> [莫家蛊仙] --> [Mạc Gia Cổ Tiên] | **4. 莫家蛊仙 (Mạc Gia Cổ Tiên)** là nam, là hai vị Cổ Tiên thuộc dòng họ Mạc, có trách nhiệm quản lý khu vực bị Thanh Cừu tàn phá.

[弯月仙子] --> [Loan Nguyệt tiên tử] <<>> [弯月仙子] --> [弯 Nguyệt Tiên Tử] | **18. 弯月仙子 (Loan Nguyệt Tiên Tử)** là nữ, là Cổ Tiên cấp 8, là chủ nhân của Loan Nguyệt Động Thiên.

[森雷洞主] --> [Sâm Lôi động chủ] <<>> [森雷洞主] --> [Sâm Lôi Đỗng Chủ] | **29.  森雷洞主 (Sâm Lôi Động Chủ)** là nam, là Cổ Tiên cấp 8, là chủ nhân của Sâm Lôi Động Thiên.

[仇恨蛊] --> [Cổ Hận thù] <<>> [仇恨蛊] --> [Cừu Hận Cổ] | **36.  仇恨蛊 (Tù Hận Cổ)** là một loại Cổ quan trọng, có khả năng khống chế Thanh Cừu.

[财富蛊] --> [Cổ Tài Phú] <<>> [财富蛊] --> [Tài Phú Cổ] | **38.  财富蛊 (Tài Phú Cổ)** là một loại Cổ được nhắc đến trong Nhân Tổ Truyền.

[诗境蛊] --> [Cổ Thi Cảnh] <<>> [诗境蛊] --> [Thi Cảnh Cổ] | **55.  诗境蛊 (Thơ Cảnh Cổ)** là một loại Cổ mà Lý Tiểu Bạch sử dụng.

[济文才杀招] --> [Tế Văn Tài sát chiêu] <<>> [济文才杀招] --> [Tể Văn Tài Sát Chiêu] | **56.  济文才杀招 (Tế Văn Tài Sát Chiêu)** là một loại Sát Chiêu trong Hoa Văn Động Thiên.

[盟誓] --> [Minh ước] <<>> [盟誓] --> [Minh Thệ] | **57.  盟誓 (Minh Thệ)** là một loại Cổ thuộc về tín đạo.

[海誓蛊] --> [Cổ Hải thề] <<>> [海誓蛊] --> [Hải Thệ Cổ] | **58.  海誓蛊 (Hải Thệ Cổ)** là một loại Cổ thuộc về tín đạo.

[诺言蛊] --> [Cổ Lời Nữ] <<>> [诺言蛊] --> [Nặc Ngôn Cổ] | **60.  诺言蛊 (Nặc Ngôn Cổ)** là một loại Cổ thuộc về tín đạo.

[白纸黑字蛊] --> [Giấy trắng mực đen cổ] <<>> [白纸黑字蛊] --> [Bạch Chỉ Hắc Tự Cổ] | **61.  白纸黑字蛊 (Bạch Chỉ Hắc Tự Cổ)** là một loại Cổ thuộc về tín đạo.

[纸鹤蛊] --> [Cổ Hạc Giấy] <<>> [纸鹤蛊] --> [Chỉ Hạc Cổ] | **63.  纸鹤蛊 (Chỉ Hạc Cổ)** là một loại Cổ thuộc về tín đạo.

[飞剑传书蛊] --> [Phi kiếm truyền thư cổ] <<>> [飞剑传书蛊] --> [Phi Kiếm Truyện Thư Cổ] | **65.  飞剑传书蛊 (Phi Kiếm Truyền Thư Cổ)** là một loại Cổ thuộc về tín đạo.

[飞鸽传书蛊] --> [Cổ phi cáp truyền thư] <<>> [飞鸽传书蛊] --> [Phi Cáp Truyện Thư Cổ] | **66.  飞鸽传书蛊 (Phi Ca Truyền Thư Cổ)** là một loại Cổ thuộc về tín đạo.

[人气仙蛊] --> [Tiên cổ Nhân Khí] <<>> [人气仙蛊] --> [Nhân Khí Tiên Cổ] | **69.  人气仙蛊 (Nhân Khí Tiên Cổ)** là một loại Cổ thuộc về khí đạo.

[地气仙蛊] --> [Tiên cổ Địa Khí] <<>> [地气仙蛊] --> [Địa Khí Tiên Cổ] | **70.  地气仙蛊 (Địa Khí Tiên Cổ)** là một loại Cổ thuộc về khí đạo.

[天气仙蛊] --> [Tiên cổ Khí Trời] <<>> [天气仙蛊] --> [Thiên Khí Tiên Cổ] | **71.  天气仙蛊 (Thiên Khí Tiên Cổ)** là một loại Cổ thuộc về khí đạo.

[三气归来杀招] --> [Sát chiêu Tam Khí Quy Trở] <<>> [三气归来杀招] --> [Tam Khí Quy Lai Sát Chiêu] | **72.  三气归来杀招 (Tam Khí Quy Lai Sát Chiêu)** là một loại Sát Chiêu của Thiên Đình.

[电路蛊] --> [Mạch Mạch Cổ] <<>> [电路蛊] --> [Điện Lộ Cổ] | **77.  电路蛊 (Điện Lộ Cổ)** là một loại Cổ thuộc về di sản của Đạo Thiên Ma Tôn.

[天道道痕] --> [Đạo ngân Thiên Đạo] <<>> [天道道痕] --> [Thiên Đạo Đạo Ngân] | **78.  天道道痕 (Thiên Đạo Đạo Hằn)** là một khái niệm quan trọng trong câu chuyện.

[寒灰仙姑] --> [Hàn Hôi tiên cô] <<>> [寒灰仙姑] --> [Hàn Hôi Tiên Cô] | **10. 寒灰仙姑 (Hàn Hôi Tiên Cô)** là nữ, tuổi không rõ, thực chất là **魔尊幽魂 (Ma Tôn U Linh)** cải trang, là nhân vật phản diện, có năng lực giả dạng, có tính cách tàn nhẫn, mưu mô.

[自由蛊] --> [Cổ Tự Do] <<>> [自由蛊] --> [Tự Do Cổ] | **13. 自由蛊 (Tự Do Cổ):** Là một loại Cổ được nhắc đến trong "Nhân Tổ Truyền", có khả năng mang lại tự do.

[南疆菇人乐土] --> [Nam Cương Cô Nhân cõi vui] <<>> [南疆菇人乐土] --> [Nam Cương Cô Nhân Nhạc Thổ] | **18. 南疆菇人乐土 (Nam Giang Khu Nhân Lạc Thổ)** là một trong những nhân vật phụ, là một vùng đất được Lạc Thổ Tiên Tôn giúp đỡ.

[大力真武] --> [Đại Lực Chân Võ] <<>> [大力真武] --> [Đại Lực Chân Vũ] | **33. 大力真武 (Đại Lực Chân Võ)** là nam, là con trai của Nhân Tổ, được nhắc đến trong "Nhân Tổ Truyện".

[刃蛊] --> [Cổ Lưỡi Đao] <<>> [刃蛊] --> [Nhận Cổ] | **39. 刃蛊 (Nhẫn Cổ)** là một con sâu, được nhắc đến trong "Nhân Tổ Truyện".

[背叛蛊] --> [Cổ phản bội] <<>> [背叛蛊] --> [Bối Bạn Cổ] | **42. 背叛蛊 (Bội Phản Cổ)** là một con sâu, được nhắc đến trong "Nhân Tổ Truyện".

[恐惧蛊] --> [Cổ Sợ Hãi] <<>> [恐惧蛊] --> [Khủng Cụ Cổ] | **43. 恐惧蛊 (Khủng Cừu Cổ)** là một con sâu, được nhắc đến trong "Nhân Tổ Truyện".

[青家太上大长老] --> [Thái thượng đại trưởng lão Thanh gia] <<>> [青家太上大长老] --> [Thanh Gia Thái Thượng Đại Trường Lão] | **48. 青家太上大长老 (Thanh Gia Thái Thượng Đại Trường Lão)** là nam, là một trong những nhân vật phụ, là người lãnh đạo của Thanh Gia.

[青家太上二长老] --> [Thái thượng nhị trưởng lão Thanh gia] <<>> [青家太上二长老] --> [Thanh Gia Thái Thượng Nhị Trường Lão] | **49. 青家太上二长老 (Thanh Gia Thái Thượng Nhị Trường Lão)** là nam, là một trong những nhân vật phụ, là người lãnh đạo của Thanh Gia.

[武镇] --> [Vũ trấn] <<>> [武镇] --> [Vũ Trấn], [七转蛊仙] --> [Cổ tiên thất chuyển] <<>>  [七转蛊仙] --> [Thất Chuyển Cổ Tiên] | **2. 武镇 (Vũ Trấn)** là nam, có thể là tuổi trẻ, là thuộc hạ của Vũ Dung, là 七转蛊仙 (Cổ Tiên 7 chuyển), trung thành với Vũ Dung.

[夏瑞之] --> [Hạ Thụy Chi] <<>> [夏瑞之] --> [Hạ Thụy Chi] | **3. 夏瑞之 (Hạ Tuệ Chi)** là nam, tuổi trung niên, là nhân vật phụ, là太上大长老 (Thái Thượng Đại Trưởng Lão) của gia tộc Hạ, là 七转蛊仙 (Cổ Tiên 7 chuyển), có tinh thần chính nghĩa, chống lại liên minh dị tộc.

[青森大圣] --> [Thanh Sâm Đại Thánh] <<>> [青森大圣] --> [Thanh Sâm Đại Thánh] | **7. 青森大圣 (Thanh Tùng Đại Thánh)** là nam, có thể là tuổi trung niên, là nhân vật phụ, là 八转蛊仙 (Cổ Tiên 8 chuyển), là đồng tộc với Tiêu Hà Tiêm, có tính cách nhỏ nhen, ích kỷ.

[贯天神君] --> [Quán Thiên Thần Quân] <<>> [贯天神君] --> [Quán Thiên Thần Quân], [族蛊仙] --> [Cổ tiên tộc] <<>>  [族蛊仙] --> [Tộc Cổ Tiên] | **8. 贯天神君 (Quán Thiên Thần Quân)** là nam, có thể là tuổi trung niên, là nhân vật phụ, là người族蛊仙 (Nhân Tộc Cổ Tiên), có thể là 七转蛊仙 (Cổ Tiên 7 chuyển).

[沉槐子] --> [Trầm Hòe Tử] <<>> [沉槐子] --> [Trầm Hòe Tử] | **9. 沉槐子 (Thẩm Hoài Tử)** là nam, có thể là tuổi trung niên, là nhân vật phụ, là người族蛊仙 (Nhân Tộc Cổ Tiên), có thể là 七转蛊仙 (Cổ Tiên 7 chuyển).

[彩石仙妃] --> [Thải Thạch tiên phi] <<>> [彩石仙妃] --> [Thải Thạch Tiên Phi], [彩] --> [Thải] <<>>  [彩] --> [Thải] | **10. 彩石仙妃 (T彩 Thạch Tiên Phi)** là nữ, có thể là tuổi trung niên, là nhân vật phụ, là người族蛊仙 (Nhân Tộc Cổ Tiên), có thể là 七转蛊仙 (Cổ Tiên 7 chuyển).

[夜狼天君] --> [Dạ Lang Thiên Quân] <<>> [夜狼天君] --> [Dạ Lang Thiên Quân], [夜狼洞天] --> [Dạ Lang Động Thiên] <<>>  [夜狼洞天] --> [Dạ Lang Đỗng Thiên] | **15. 夜狼天君 (Dạ Lang Thiên Quân)** là nam, có thể là tuổi trung niên, là nhân vật phụ, là nhân vật phản diện, từng là chủ nhân của 夜狼洞天 (Dạ Lang Động Thiên), sau đó bị Ngô Tuấn giết chết.

[金毛仙王] --> [Kim Mao Tiên Vương] <<>> [金毛仙王] --> [Kim Mao Tiên Vương] | **16. 金毛仙王 (Kim Mao Tiên Vương)** là nam, có thể là tuổi trung niên, là nhân vật phụ, là 毛民蛊仙 (Mao Dân Cổ Tiên), là 八转蛊仙 (Cổ Tiên 8 chuyển), có tính cách tham vọng, muốn được bảo vệ và trọng dụng.

[乱石洞主] --> [Loạn thạch động chủ] <<>> [乱石洞主] --> [Loạn Thạch Đỗng Chủ] | **17. 乱石洞主 (Loạn Thạch Động Chủ)** là nam, có thể là tuổi trung niên, là nhân vật phụ, là 石人蛊仙 (Thạch Nhân Cổ Tiên), là 八转蛊仙 (Cổ Tiên 8 chuyển).

[臭蛋洞主] --> [Động chủ Trứng Thối] <<>> [臭蛋洞主] --> [Xú Đản Đỗng Chủ] | **18. 臭蛋洞主 (Thối Đản Động Chủ)** là nam, có thể là tuổi trung niên, là nhân vật phụ, là 八转蛊仙 (Cổ Tiên 8 chuyển).

[毛怪洞主] --> [Mao quái động chủ] <<>> [毛怪洞主] --> [Mao Quái Đỗng Chủ] | **19. 毛怪洞主 (Mao Quái Động Chủ)** là nam, có thể là tuổi trung niên, là nhân vật phụ, là 八转蛊仙 (Cổ Tiên 8 chuyển).

[汤家太上大长老] --> [Thái thượng đại trưởng lão Thang gia] <<>> [汤家太上大长老] --> [Thang Gia Thái Thượng Đại Trường Lão] | **22. 汤家太上大长老 (Thang Gia Thái Thượng Đại Trưởng Lão)** là nam, có thể là tuổi già, là nhân vật phụ, là 太上大长老 (Thái Thượng Đại Trưởng Lão) của gia tộc Thang.

[谢家太上大长老] --> [Thái thượng đại trưởng lão Tạ gia] <<>> [谢家太上大长老] --> [Tạ Gia Thái Thượng Đại Trường Lão] | **23. 谢家太上大长老 (Tạ Gia Thái Thượng Đại Trưởng Lão)** là nam, có thể là tuổi già, là nhân vật phụ, là 太上大长老 (Thái Thượng Đại Trưởng Lão) của gia tộc Tạ.

[华家] --> [Hoa gia] <<>> [华家] --> [Hoa Gia], [翠云烟花舰] --> [Thủy Vân Yên Hạm] <<>>  [翠云烟花舰] --> [Thúy Vân Yên Hoa Hạm] | **24. 华家 (Hoa Gia)** là gia tộc, là một trong những gia tộc giàu có và mạnh mẽ của Đông Hải, sở hữu仙蛊屋 (Cổ Tiên Ốc)翠云烟花舰 (Tuệ Vân Yên Hoa Kiếm).

[夜治] --> [Dạ Trị] <<>> [夜治] --> [Dạ Trì] | **25. 夜治 (Dạ Trị)** là nam, có thể là tuổi trẻ, là nhân vật phụ, là thuộc hạ của Dạ Lang Thiên Quân, sau đó đầu hàng Phương Nguyên.

[豪豨] --> [Hào Lam] <<>> [豪豨] --> [Hào Hi], [太古荒兽] --> [Thái Cổ hoang thú] <<>>  [太古荒兽] --> [Thái Cổ Hoang Thú], [豪豨洞天] --> [Hào Lam Động Thiên] <<>>  [豪豨洞天] --> [Hào Hi Đỗng Thiên] | **30. 豪豨 (Hào Hy)** là loài thú, là太古荒兽 (Thái Cổ Hoang Thú), sống trong 豪豨洞天 (Hào Hy Động Thiên).

[妙音仙子] --> [Diệu Âm tiên tử] <<>> [妙音仙子] --> [Diệu Âm Tiên Tử] | **42. 妙音仙子 (Miệu Âm Tiên Tử)** là nữ, là nhân vật phụ, có thể là 七转蛊仙 (Cổ Tiên 7 chuyển), có tính cách thận trọng, đề cao lợi ích bản thân.

[池大霹] --> [Trì Đại Phích] <<>> [池大霹] --> [Trì Đại Phích] | **46. 池大霹 (Trì Đại Lôi)** là nam, là nhân vật phụ, là 七转蛊仙 (Cổ Tiên 7 chuyển), là thuộc hạ của Trì Phỉ, có tính cách nóng nảy, bốc đồng.

[池规] --> [Trì quy] <<>> [池规] --> [Trì Quy] | **47. 池规 (Trì Quy)** là nam, là nhân vật phụ, là 七转蛊仙 (Cổ Tiên 7 chuyển), là thuộc hạ của Trì Phỉ, có tính cách thận trọng, cẩn thận.

[池伤] --> [Trì Thương] <<>> [池伤] --> [Trì Thương] | **48. 池伤 (Trì Thương)** là nam, là nhân vật phụ, là 七转蛊仙 (Cổ Tiên 7 chuyển), là thuộc hạ của Trì Phỉ, có tài năng về trận pháp, nhưng thường xuyên mất tập trung.

[池须芝] --> [Trì Tu Chi] <<>> [池须芝] --> [Trì Tu Chi] | **49. 池须芝 (Trì Tu Cát)** là nam, là nhân vật được nhắc đến, là 七转蛊仙 (Cổ Tiên 7 chuyển), có tính cách tham vọng, muốn tranh giành quyền lực trong gia tộc Trì.

[羊阴光] --> [dê âm quang] <<>> [羊阴光] --> [Dương Âm Quang] | **50. 羊阴光 (Dương Âm Quang)** là nam, là nhân vật phụ, là 七转蛊仙 (Cổ Tiên 7 chuyển), là người của gia tộc Dương, có sức mạnh mạnh mẽ.

[羊文魁] --> [Dương Văn Khôi] <<>> [羊文魁] --> [Dương Văn Khôi] | **51. 羊文魁 (Dương Văn Khuê)** là nam, là nhân vật phụ, là 七转蛊仙 (Cổ Tiên 7 chuyển), là người của gia tộc Dương, có khả năng về trí tuệ và tin tức.

[巴十八] --> [Ba Thập Bát] <<>> [巴十八] --> [Ba Thập Bát] | **52. 巴十八 (Ba Thập Bát)** là nam, là nhân vật được nhắc đến, là 太上大长老 (Thái Thượng Đại Trưởng Lão) của gia tộc Ba, đã bị Phương Nguyên lấy đi tiên khấu.

[钢奔勇士] --> [Cương Bôn Dũng Sĩ] <<>> [钢奔勇士] --> [Cương Bôn Dũng Sĩ] | **56. 钢奔勇士 (Thép Bôn Anh Dũng)** là nam, là nhân vật phụ, là thuộc hạ của Phương Nguyên, có thể là 七转蛊仙 (Cổ Tiên 7 chuyển).

 [长毛炼道大阵] --> [Đại trận Luyện đạo lông dài] <<>>  [长毛炼道大阵] --> [Trường Mao Luyện Đạo Đại Trận] | **58. 长毛老祖 (Trường Mao Lão Tổ)** là nam, là nhân vật được nhắc đến, là người sáng tạo ra 长毛炼道大阵 (Trường Mao Luyện Đạo Đại Trận).

[打滚猫] --> [Mèo lăn lộn] <<>> [打滚猫] --> [Đả Cổn Miêu] | **62. 打滚猫 (Đả Cổn Miêu)** là loài thú, là 上古荒兽 (Thượng Cổ Hoang Thú), là tài nguyên của vận đạo.

[紫府土] --> [Thổ Tử Phủ] <<>> [紫府土] --> [Tử Phủ Thổ] | **66. 紫府土 (Tử Phủ Thổ)** là tài nguyên, là tài nguyên của tu luyện.

[叱咤] --> [quát tháo] <<>> [叱咤] --> [Sất Trá] | **70. 叱咤 (Xích Tá)** là truyền thừa, là truyền thừa của âm đạo.

[乾清一气] --> [Càn Thanh nhất mạch] <<>> [乾清一气] --> [Kiền Thanh Nhất Khí], [八面威风蛊] --> [Cổ Uy Phong tám mặt] <<>>  [八面威风蛊] --> [Bát Diện Uy Phong Cổ] | **71. 乾清一气 (Canh Thanh Nhất Khí)** là tài nguyên, là tài nguyên cần thiết để luyện chế 八面威风蛊 (Bát Diện Uy Phong Cổ).

[早秋] --> [Sáng thu] <<>> [早秋] --> [Tảo Thu] | **78. 早秋 (Tảo Thu)** là cổ tiên, là cổ tiên cấp bậc bát chuyển, thuộc về chu đạo.

[静眠电蟒] --> [Tịnh Miên Điện Mãng] <<>> [静眠电蟒] --> [Tĩnh Miên Điện Mãng] | **82. 静眠电蟒 (Tĩnh Miên Điện Mãng)** là sát chiêu, là sát chiêu của luyện đạo.

[闷雷石鼓] --> [Trầm Lôi thạch cổ] <<>> [闷雷石鼓] --> [Muộn Lôi Thạch Cổ] | **85. 闷雷石鼓 (Mộn Lôi Thạch Cổ)** là sát chiêu, là sát chiêu của luyện đạo.

[龙形冰雪] --> [Băng tuyết hình rồng] <<>> [龙形冰雪] --> [Long Hình Băng Tuyết] | **86. 龙形冰雪 (Long Hình Băng Tuyết)** là sát chiêu, là sát chiêu của luyện đạo.

